Marcus Thornton,205,6-4,Shooting Guard,Right,4,26,2011-12,24,SAC,NBA,SG,51,51,1780,352,803,.438,107,310,.345,245,493,.497,141,163,.865,84,104,188,98,71,12,84,111,952,
Jamaal Tinsley,195,6-3,Point Guard,Right,10,35,2011-12,33,UTA,NBA,PG,37,1,507,57,141,.404,10,37,.270,47,104,.452,13,17,.765,6,39,45,123,17,8,52,47,137,
Anthony Tolliver,240,6-8,Power Forward and Small Forward,Right,5,28,2011-12,26,MIN,NBA,SF,51,0,882,71,182,.390,25,101,.248,46,81,.568,41,55,.745,50,103,153,22,18,19,35,86,208,
Ronny Turiaf,249,6-10,Center and Power Forward,Right,8,31,2011-12,29,TOT,NBA,C,17,5,279,19,33,.576,0,1,.000,19,32,.594,13,22,.591,20,50,70,10,14,17,14,39,51,
Ronny Turiaf,249,6-10,Center and Power Forward,Right,8,31,2011-12,29,WAS,NBA,C,4,0,58,3,3,1.000,0,0,,3,3,1.000,0,0,,1,11,12,5,6,3,6,7,6,
Ronny Turiaf,249,6-10,Center and Power Forward,Right,8,31,2011-12,29,MIA,NBA,C,13,5,221,16,30,.533,0,1,.000,16,29,.552,13,22,.591,19,39,58,5,8,14,8,32,45,
Hedo Turkoglu,220,6-10,Small Forward and Power Forward,Right,13,34,2011-12,32,ORL,NBA,SF,53,53,1653,209,504,.415,91,258,.353,118,246,.480,67,95,.705,24,175,199,233,45,17,142,139,576,
Evan Turner,205,6-7,Small Forward and Shooting Guard,Right,3,25,2011-12,23,PHI,NBA,SF,65,20,1713,263,590,.446,11,49,.224,252,541,.466,73,108,.676,27,349,376,180,40,20,105,117,610,
Jeremy Tyler,260,6-10,Center,Right,2,22,2011-12,20,GSW,NBA,C,42,23,568,88,209,.421,0,1,.000,88,208,.423,29,52,.558,54,86,140,16,16,20,36,84,205,
Edwin Ubiles,204,6-6,Small Forward,Right,,,2011-12,25,WAS,NBA,SF,4,0,52,5,18,.278,1,5,.200,4,13,.308,3,3,1.000,2,8,10,1,1,1,1,1,14,
Ekpe Udoh,240,6-10,Center and Power Forward,Right,3,26,2011-12,24,TOT,NBA,C,61,11,1290,127,295,.431,0,2,.000,127,293,.433,86,114,.754,100,154,254,57,40,102,53,174,340,
Ekpe Udoh,240,6-10,Center and Power Forward,Right,3,26,2011-12,24,GSW,NBA,C,38,6,827,82,185,.443,0,0,,82,185,.443,46,64,.719,58,89,147,31,25,65,35,115,210,
Ekpe Udoh,240,6-10,Center and Power Forward,Right,3,26,2011-12,24,MIL,NBA,C,23,5,463,45,110,.409,0,2,.000,45,108,.417,40,50,.800,42,65,107,26,15,37,18,59,130,
Beno Udrih,205,6-3,Point Guard and Shooting Guard,Left,9,31,2011-12,29,MIL,NBA,SG,59,0,1080,146,332,.440,17,59,.288,129,273,.473,39,55,.709,26,76,102,227,37,1,77,69,348,
Ben Uzoh,205,6-3,Point Guard,Right,,,2011-12,23,TOT,NBA,PG,18,8,370,35,99,.354,0,1,.000,35,98,.357,11,19,.579,19,48,67,61,17,3,19,31,81,
Ben Uzoh,205,6-3,Point Guard,Right,,,2011-12,23,CLE,NBA,PG,2,0,13,2,5,.400,0,0,,2,5,.400,0,0,,2,2,4,2,1,0,0,1,4,
Ben Uzoh,205,6-3,Point Guard,Right,,,2011-12,23,TOR,NBA,PG,16,8,357,33,94,.351,0,1,.000,33,93,.355,11,19,.579,17,46,63,59,16,3,19,30,77,
Anderson Varejao,230,6-10,Center and Power Forward,Right,9,31,2011-12,29,CLE,NBA,C,25,25,785,114,222,.514,0,4,.000,114,218,.523,43,64,.672,109,178,287,43,35,17,45,62,271,
Greivis Vasquez,200,6-6,Shooting Guard and Point Guard,Right,3,27,2011-12,25,NOH,NBA,SG,66,26,1706,225,523,.430,43,135,.319,182,388,.469,96,117,.821,23,150,173,359,60,8,148,126,589,
Jan Vesely,240,6-11,Power Forward,Right,2,23,2011-12,21,WAS,NBA,PF,57,20,1078,117,218,.537,0,1,.000,117,217,.539,33,62,.532,101,148,249,47,39,32,60,156,267,
Charlie Villanueva,240,6-11,Power Forward,Right,8,29,2011-12,27,DET,NBA,PF,13,0,180,35,91,.385,15,45,.333,20,46,.435,6,7,.857,9,39,48,6,7,5,7,25,91,
Nikola Vucevic,240,6-10,Center,Right,2,23,2011-12,21,PHI,NBA,C,51,15,812,131,291,.450,3,8,.375,128,283,.452,18,34,.529,88,158,246,31,20,34,33,111,283,
Dwyane Wade,212,6-4,Shooting Guard and Point Guard,Right,10,32,2011-12 ★,30,MIA,NBA,SG,49,49,1625,416,837,.497,15,56,.268,401,781,.513,235,297,.791,73,164,237,225,82,63,129,110,1082,
Von Wafer,210,6-5,Shooting Guard and Small Forward,Right,,,2011-12,26,ORL,NBA,SG,33,1,469,71,157,.452,14,39,.359,57,118,.483,38,54,.704,6,39,45,29,10,3,35,26,194,
Bill Walker,220,6-6,Shooting Guard and Small Forward,Right,,,2011-12,24,NYK,NBA,SG,32,8,620,68,171,.398,36,113,.319,32,58,.552,17,20,.850,9,71,80,37,19,7,35,84,189,
Kemba Walker,172,6-1,Point Guard,Right,2,23,2011-12,21,CHA,NBA,PG,66,25,1792,281,767,.366,69,226,.305,212,541,.392,168,213,.789,30,204,234,289,60,20,119,79,799,
John Wall,195,6-4,Point Guard,Right,3,23,2011-12,21,WAS,NBA,PG,66,66,2386,378,894,.423,3,42,.071,375,852,.440,317,402,.789,48,252,300,530,95,57,255,137,1076,
Ben Wallace,240,6-9,Center and Power Forward,Right,,,2011-12,37,DET,NBA,C,62,11,980,34,86,.395,1,4,.250,33,82,.402,16,47,.340,81,188,269,43,47,51,34,60,85,
Gerald Wallace,215,6-7,Small Forward and Power Forward,Right,12,31,2011-12,29,TOT,NBA,SF,58,58,2076,287,632,.454,46,150,.307,241,482,.500,180,225,.800,87,299,386,164,85,36,111,145,800,
